episode,steps,reward,reward100,reward50,reward10,mean_s_q,mean_t_q,mean_td_error,mean_h_error,action_count0,mean_wg,median_wg,max_wg,min_wg
332,59910,-0.0381,-12.0,-12.8,-10.9,-1.94071,-1.85741,-0.00662996,0.0386049,181,1.14037e-05,1.61501e-06,0.000170468,0.0
336,60634,-0.0024,-11.9,-12.5,-10.1,-1.93077,-1.86891,-0.00658851,0.0169211,181,6.551e-06,8.96102e-07,8.85927e-05,0.0
340,61358,-0.001,-11.7,-11.7,-9.0,-1.6852,-1.66665,-0.00501781,0.0163287,181,4.75346e-06,7.6689e-07,9.12452e-05,0.0
344,62082,-0.0015,-11.9,-10.5,-6.8,-1.78546,-1.73661,-0.00551508,0.0260566,181,3.14239e-06,4.47363e-07,4.54931e-05,0.0
348,62806,-0.001,-11.6,-9.4,-8.3,-1.74653,-1.71169,0.00441915,0.0139031,181,9.42966e-06,1.25333e-06,0.000139765,0.0
352,63530,-0.0015,-11.1,-9.2,-7.4,-1.68545,-1.6575,-0.0096433,0.0163094,181,7.76886e-06,9.42326e-07,0.000128437,0.0
356,64254,-0.0019,-11.4,-9.7,-10.5,-2.01155,-1.91135,-0.0123004,0.0343748,181,7.59822e-06,9.8718e-07,0.00011252,0.0
360,64978,-0.00416666666667,-11.0,-9.3,-10.7,-1.86619,-1.81978,-0.00282875,0.020074,181,7.58303e-06,1.07311e-06,8.88507e-05,0.0
364,65702,-0.0053,-11.6,-10.2,-16.6,-2.17905,-2.08927,-0.000536489,0.0185805,181,1.05671e-05,1.39543e-06,0.000160888,0.0
368,66426,-0.0019,-11.6,-10.6,-14.0,-2.09967,-2.04297,-0.00496645,0.0258588,181,8.67568e-06,1.44736e-06,0.00013089,0.0
372,67150,-0.0188,-11.5,-10.4,-11.5,-1.93958,-1.86918,-0.00862452,0.0193075,181,4.90414e-06,6.20138e-07,7.98466e-05,0.0
376,67874,-0.0162333333333,-11.3,-10.2,-9.2,-1.75192,-1.71552,-0.00385145,0.0138826,181,9.25045e-06,1.13242e-06,0.000131219,0.0
